Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2001-01-07,11,19.000000,49.000000,41.000000,64.000000,35.000000,23.000000,54.000000,34.000000
2001-01-07,12,18.000000,18.000000,45.000000,67.000000,37.000000,23.000000,55.000000,13.000000
2001-01-07,13,18.000000,18.000000,37.000000,51.000000,29.000000,15.000000,35.000000,7.000000
2001-01-07,14,19.000000,16.000000,35.000000,48.000000,25.000000,14.000000,45.000000,9.000000
2001-01-07,15,18.000000,15.000000,35.000000,49.000000,22.000000,14.000000,37.000000,9.000000
2001-01-07,16,18.000000,15.000000,35.000000,43.000000,24.000000,14.000000,40.000000,8.000000
2001-01-07,17,18.000000,15.000000,36.000000,47.000000,26.000000,14.000000,40.000000,8.000000
2001-01-07,18,19.000000,20.000000,41.000000,55.000000,33.000000,16.000000,49.000000,11.000000
2001-01-07,19,19.000000,36.000000,45.000000,60.000000,39.000000,22.000000,44.000000,17.000000
2001-01-07,20,19.000000,26.000000,45.000000,60.000000,40.000000,25.000000,49.000000,13.000000
2001-01-07,21,18.000000,10.000000,42.000000,57.000000,39.000000,17.000000,41.000000,14.000000
2001-01-07,22,18.000000,18.000000,41.000000,61.000000,38.000000,19.000000,39.000000,17.000000
2001-01-07,23,18.000000,16.000000,45.000000,59.000000,37.000000,23.000000,49.000000,14.000000
2001-01-08,00,17.000000,14.000000,44.000000,60.000000,30.000000,20.000000,43.000000,11.000000
2001-01-08,01,17.000000,15.000000,44.000000,57.000000,33.000000,18.000000,37.000000,16.000000
2001-01-08,02,19.000000,14.000000,47.000000,53.000000,32.000000,17.000000,42.000000,18.000000
2001-01-08,03,18.000000,6.000000,44.000000,52.000000,33.000000,21.000000,36.000000,18.000000
2001-01-08,04,19.000000,8.000000,46.000000,55.000000,35.000000,21.000000,46.000000,18.000000
2001-01-08,05,18.000000,6.000000,39.000000,54.000000,31.000000,23.000000,40.000000,18.000000
2001-01-08,06,19.000000,9.000000,44.000000,55.000000,29.000000,22.000000,38.000000,18.000000
2001-01-08,07,19.000000,71.000000,40.000000,52.000000,29.000000,22.000000,40.000000,20.000000
2001-01-08,08,18.000000,70.000000,52.000000,54.000000,33.000000,22.000000,48.000000,36.000000
2001-01-08,09,19.000000,67.000000,77.000000,61.000000,39.000000,27.000000,60.000000,51.000000
2001-01-08,10,19.000000,119.000000,74.000000,51.000000,63.000000,20.000000,73.000000,57.000000
2001-01-08,11,19.000000,49.000000,71.000000,53.000000,66.000000,20.000000,,85.000000
2001-01-08,12,19.000000,44.000000,76.000000,44.000000,38.000000,20.000000,50.000000,59.000000
2001-01-08,13,20.000000,52.000000,65.000000,41.000000,26.000000,20.000000,48.000000,37.000000
2001-01-08,14,19.000000,37.000000,50.000000,40.000000,23.000000,18.000000,44.000000,27.000000
2001-01-08,15,19.000000,40.000000,46.000000,40.000000,26.000000,17.000000,45.000000,20.000000
2001-01-08,16,19.000000,58.000000,46.000000,39.000000,25.000000,18.000000,49.000000,20.000000
2001-01-08,17,19.000000,94.000000,53.000000,46.000000,28.000000,23.000000,29.000000,13.000000
2001-01-08,18,17.000000,72.000000,80.000000,68.000000,63.000000,43.000000,,17.000000
2001-01-08,19,17.000000,56.000000,60.000000,88.000000,51.000000,68.000000,34.000000,23.000000
2001-01-08,20,20.000000,46.000000,52.000000,71.000000,44.000000,30.000000,42.000000,23.000000
2001-01-08,21,19.000000,48.000000,53.000000,61.000000,40.000000,29.000000,43.000000,21.000000
2001-01-08,22,18.000000,49.000000,51.000000,54.000000,34.000000,28.000000,40.000000,21.000000
2001-01-08,23,18.000000,47.000000,48.000000,54.000000,35.000000,26.000000,42.000000,15.000000
2001-01-09,00,19.000000,43.000000,46.000000,52.000000,34.000000,26.000000,42.000000,12.000000
2001-01-09,01,18.000000,43.000000,48.000000,52.000000,19.000000,26.000000,36.000000,9.000000
2001-01-09,02,17.000000,41.000000,45.000000,51.000000,19.000000,26.000000,32.000000,10.000000
2001-01-09,03,18.000000,33.000000,40.000000,52.000000,19.000000,19.000000,34.000000,10.000000
2001-01-09,04,17.000000,39.000000,42.000000,51.000000,18.000000,18.000000,43.000000,9.000000
2001-01-09,05,18.000000,39.000000,45.000000,54.000000,23.000000,23.000000,38.000000,10.000000
2001-01-09,06,19.000000,42.000000,45.000000,57.000000,29.000000,26.000000,40.000000,13.000000
2001-01-09,07,18.000000,44.000000,40.000000,57.000000,32.000000,25.000000,44.000000,18.000000
2001-01-09,08,19.000000,53.000000,40.000000,56.000000,30.000000,26.000000,41.000000,19.000000
2001-01-09,09,18.000000,62.000000,42.000000,54.000000,33.000000,26.000000,39.000000,22.000000
2001-01-09,10,18.000000,45.000000,44.000000,57.000000,47.000000,27.000000,48.000000,25.000000
2001-01-09,11,19.000000,32.000000,35.000000,61.000000,40.000000,19.000000,50.000000,15.000000
2001-01-09,12,18.000000,33.000000,31.000000,61.000000,35.000000,16.000000,33.000000,17.000000
2001-01-09,13,18.000000,36.000000,34.000000,53.000000,17.000000,18.000000,29.000000,21.000000
2001-01-09,14,18.000000,28.000000,31.000000,54.000000,17.000000,18.000000,,16.000000
2001-01-09,15,21.000000,30.000000,32.000000,59.000000,18.000000,17.000000,,16.000000
2001-01-09,16,19.000000,36.000000,33.000000,49.000000,19.000000,19.000000,,24.000000
2001-01-09,17,20.000000,45.000000,35.000000,52.000000,20.000000,23.000000,,34.000000
2001-01-09,18,18.000000,55.000000,39.000000,54.000000,23.000000,28.000000,,29.000000
2001-01-09,19,17.000000,55.000000,39.000000,57.000000,27.000000,32.000000,,28.000000
2001-01-09,20,18.000000,53.000000,33.000000,51.000000,23.000000,26.000000,,30.000000
2001-01-09,21,17.000000,61.000000,37.000000,54.000000,30.000000,30.000000,,38.000000
2001-01-09,22,19.000000,59.000000,34.000000,56.000000,28.000000,29.000000,,36.000000
2001-01-09,23,19.000000,60.000000,49.000000,54.000000,30.000000,27.000000,,35.000000
2001-01-10,00,19.000000,49.000000,54.000000,56.000000,29.000000,28.000000,,37.000000
2001-01-10,01,18.000000,43.000000,48.000000,54.000000,30.000000,26.000000,,34.000000
2001-01-10,02,19.000000,50.000000,43.000000,54.000000,30.000000,22.000000,,33.000000
2001-01-10,03,17.000000,77.000000,48.000000,52.000000,28.000000,21.000000,,20.000000
2001-01-10,04,19.000000,166.000000,46.000000,49.000000,27.000000,23.000000,,13.000000
2001-01-10,05,19.000000,38.000000,46.000000,52.000000,30.000000,23.000000,,17.000000
2001-01-10,06,19.000000,42.000000,34.000000,52.000000,24.000000,25.000000,,25.000000
2001-01-10,07,18.000000,37.000000,34.000000,54.000000,26.000000,26.000000,,33.000000
2001-01-10,08,20.000000,50.000000,37.000000,56.000000,29.000000,26.000000,,47.000000
2001-01-10,09,18.000000,115.000000,51.000000,52.000000,32.000000,24.000000,,60.000000
2001-01-10,10,18.000000,113.000000,46.000000,52.000000,36.000000,20.000000,,52.000000
2001-01-10,11,19.000000,59.000000,32.000000,48.000000,33.000000,21.000000,,26.000000
2001-01-10,12,19.000000,37.000000,31.000000,49.000000,20.000000,18.000000,,14.000000
2001-01-10,13,17.000000,26.000000,29.000000,48.000000,19.000000,18.000000,,13.000000
2001-01-10,14,18.000000,23.000000,28.000000,46.000000,19.000000,16.000000,18.000000,15.000000
2001-01-10,15,19.000000,21.000000,27.000000,45.000000,19.000000,14.000000,21.000000,12.000000
2001-01-10,16,17.000000,22.000000,27.000000,44.000000,18.000000,14.000000,29.000000,13.000000
2001-01-10,17,19.000000,27.000000,34.000000,46.000000,19.000000,16.000000,35.000000,13.000000
2001-01-10,18,19.000000,53.000000,46.000000,53.000000,24.000000,22.000000,27.000000,28.000000
2001-01-10,19,19.000000,62.000000,54.000000,57.000000,28.000000,31.000000,33.000000,40.000000
2001-01-10,20,17.000000,61.000000,53.000000,60.000000,27.000000,29.000000,29.000000,35.000000
2001-01-10,21,18.000000,63.000000,52.000000,60.000000,32.000000,28.000000,30.000000,31.000000
2001-01-10,22,18.000000,56.000000,46.000000,61.000000,24.000000,28.000000,30.000000,26.000000
2001-01-10,23,19.000000,56.000000,43.000000,55.000000,20.000000,27.000000,33.000000,20.000000
2001-01-11,00,19.000000,50.000000,45.000000,56.000000,30.000000,26.000000,32.000000,26.000000
2001-01-11,01,18.000000,43.000000,46.000000,51.000000,30.000000,26.000000,32.000000,26.000000
2001-01-11,02,18.000000,40.000000,46.000000,51.000000,30.000000,25.000000,32.000000,18.000000
